Instrument,Timestamp,Lat,Lon
T1,2022-03-21T18:00:08+00:00,72.57491,-16.95159
T1,2022-03-21T19:00:08+00:00,72.56683,-16.97408
T2,2022-03-21T17:00:10+00:00,72.87927,-16.72777
T2,2022-03-21T18:00:08+00:00,72.86588,-16.75514
T3,2022-03-22T11:00:07+00:00,72.53253,-16.48475
T3,2022-03-22T12:00:12+00:00,72.53209,-16.47547
T4,2022-03-22T16:00:08+00:00,72.34937,-15.77999
T4,2022-03-22T17:00:09+00:00,72.33628,-15.8058
T5,2022-03-22T19:00:07+00:00,71.99731,-17.29196
T5,2022-03-22T20:00:08+00:00,71.98653,-17.31131
